,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Agriculture,5262.0,15.0,2.0,6.0,0.0,0.0,9213.0,22.0,24.0,86.0,1.0,1.0,1.0,3.0,18.0,0.0,30.0,3.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,10.0,4.0,2.0,2.0,5.0,10.0,41.0,87.0,3.0,206.0,29.0,58.0,0.0,0.0,80.0,0.0,29.0,105.0,0.0,1.0,0.0,8.0,2.0,0.0,1.0,1.0,0.0,1.0,18.0,2.0,8.0,0.0,17.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,85.0,47.0,118.0,17.0,46.0,81.0,2.0,4.0,2.0,8.0,4.0,0.0,17.0,0.0
Forestry,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishery,0.0,0.0,2.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining Oil&Gas,185.0,0.0,0.0,159.0,1.0,2.0,172.0,23.0,0.0,4.0,1.0,45.0,3.0,432.0,443.0,11.0,21.0,57.0,60.0,29.0,0.0,0.0,9.0,2.0,6.0,4.0,2.0,9.0,110.0,5.0,10.0,3.0,1.0,8.0,6.0,150.0,22.0,10.0,1.0,0.0,15.0,1.0,26.0,47.0,0.0,1.0,2.0,2.0,5.0,0.0,6.0,3.0,1.0,3.0,12.0,5.0,5.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,39.0,40.0,23.0,49.0,5.0,4.0,5.0,21.0,33.0,1.0,6.0,0.0
Remainder Mining,15.0,0.0,0.0,0.0,136.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,111.0,71.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supporting Mining,0.0,0.0,0.0,24.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Supplements,4123.0,0.0,16.0,0.0,0.0,0.0,7914.0,130.0,1.0,9.0,0.0,32.0,0.0,136.0,220.0,276.0,24.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,16.0,0.0,215.0,2.0,0.0,17.0,3.0,229.0,11.0,2.0,0.0,2.0,2.0,1.0,258.0,1322.0,2.0,3.0,1.0,1.0,6.0,1.0,6.0,8.0,6.0,7.0,1.0,4.0,89.0,3.0,11.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,82.0,41.0,218.0,541.0,15.0,28.0,4.0,94.0,1.0,0.0,37.0,0.0
Beverages,2.0,0.0,0.0,0.0,0.0,0.0,29.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,18.0,4.0,0.0,1.0,0.0,1.0,0.0,20.0,397.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,3.0,0.0,0.0,2.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,10.0,19.0,4.0,20.0,6.0,2.0,11.0,247.0,3.0,0.0,12.0,0.0
Tobacco,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Textile&Clothing,4.0,0.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,350.0,6.0,7.0,3.0,0.0,7.0,1.0,18.0,8.0,1.0,9.0,0.0,21.0,14.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,5.0,18.0,16.0,16.0,5.0,23.0,12.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,34.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,84.0,3.0,15.0,5.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0
Wood,24.0,0.0,0.0,0.0,1.0,0.0,49.0,48.0,1.0,17.0,109.0,10.0,3.0,2.0,36.0,8.0,25.0,29.0,2.0,33.0,5.0,2.0,10.0,0.0,2.0,21.0,28.0,0.0,2.0,0.0,0.0,740.0,36.0,130.0,0.0,18.0,49.0,7.0,0.0,0.0,35.0,0.0,7.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,80.0,183.0,2.0,3.0,0.0,8.0,6.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,122.0,16.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,55.0,0.0
Paper,10.0,0.0,2.0,7.0,0.0,8.0,488.0,128.0,7.0,11.0,2.0,645.0,125.0,1.0,38.0,57.0,77.0,27.0,18.0,33.0,25.0,3.0,73.0,2.0,5.0,22.0,20.0,3.0,3.0,1.0,3.0,9.0,1.0,18.0,4.0,29.0,34.0,7.0,7.0,4.0,11.0,0.0,4.0,17.0,88.0,2.0,2.0,5.0,10.0,3.0,7.0,6.0,4.0,0.0,20.0,10.0,11.0,3.0,7.0,14.0,6.0,0.0,6.0,5.0,1.0,0.0,56.0,148.0,32.0,27.0,56.0,43.0,9.0,4.0,0.0,3.0,10.0,6.0,4.0,0.0
Graphical,8.0,0.0,1.0,0.0,1.0,2.0,90.0,40.0,2.0,4.0,3.0,17.0,97.0,0.0,38.0,1.0,17.0,8.0,13.0,13.0,21.0,15.0,24.0,11.0,4.0,1.0,8.0,9.0,7.0,1.0,9.0,21.0,12.0,42.0,65.0,237.0,127.0,26.0,10.0,4.0,13.0,5.0,36.0,66.0,563.0,24.0,11.0,101.0,106.0,19.0,148.0,33.0,32.0,0.0,32.0,41.0,195.0,17.0,12.0,234.0,11.0,1.0,23.0,31.0,64.0,2.0,12.0,26.0,67.0,59.0,34.0,43.0,20.0,20.0,5.0,8.0,10.0,1.0,5.0,0.0
Oil,73.0,0.0,20.0,9.0,2.0,6.0,23.0,5.0,0.0,1.0,1.0,0.0,1.0,944.0,997.0,14.0,0.0,6.0,9.0,8.0,0.0,6.0,4.0,1.0,9.0,4.0,4.0,6.0,60.0,1.0,8.0,25.0,82.0,64.0,16.0,125.0,38.0,130.0,182.0,471.0,44.0,4.0,2.0,8.0,0.0,2.0,0.0,1.0,15.0,2.0,21.0,17.0,9.0,0.0,20.0,8.0,37.0,22.0,2.0,11.0,2.0,0.0,61.0,20.0,1.0,0.0,9.0,2.0,28.0,44.0,7.0,8.0,5.0,3.0,1.0,20.0,13.0,2.0,9.0,0.0
Chemical,178.0,0.0,0.0,6.0,15.0,0.0,170.0,10.0,70.0,107.0,14.0,204.0,77.0,257.0,7825.0,46.0,1170.0,58.0,47.0,71.0,25.0,41.0,38.0,32.0,20.0,247.0,126.0,21.0,7.0,35.0,8.0,88.0,17.0,234.0,16.0,192.0,2.0,12.0,4.0,0.0,2.0,0.0,2.0,5.0,25.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,61.0,0.0,21.0,3.0,129.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,28.0,36.0,30.0,8.0,9.0,3.0,1.0,4.0,0.0,5.0,26.0,0.0
Pharmaceutical,34.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7.0,3.0,0.0,5.0,1.0,0.0,84.0,194.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,244.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Rubber&Plastic,46.0,0.0,0.0,6.0,2.0,17.0,291.0,40.0,12.0,8.0,111.0,126.0,10.0,7.0,162.0,32.0,254.0,152.0,18.0,97.0,10.0,39.0,113.0,178.0,35.0,56.0,84.0,23.0,2.0,0.0,6.0,196.0,64.0,485.0,12.0,45.0,27.0,20.0,1.0,3.0,13.0,2.0,4.0,9.0,29.0,4.0,2.0,6.0,9.0,1.0,3.0,4.0,3.0,32.0,87.0,10.0,25.0,1.0,11.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,18.0,12.0,6.0,11.0,16.0,38.0,5.0,4.0,0.0,4.0,6.0,25.0,13.0,0.0
Building Material,9.0,0.0,0.0,0.0,0.0,0.0,27.0,65.0,5.0,0.0,1.0,1.0,0.0,0.0,9.0,10.0,5.0,224.0,7.0,26.0,12.0,5.0,8.0,3.0,0.0,5.0,12.0,2.0,7.0,0.0,5.0,1731.0,461.0,659.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,95.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,22.0,19.0,12.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,11.0,0.0
Raw Metal,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,54.0,0.0,5.0,21.0,17.0,1127.0,13.0,11.0,149.0,71.0,50.0,14.0,4.0,14.0,24.0,0.0,33.0,102.0,118.0,111.0,40.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Metal Product,37.0,2.0,0.0,16.0,7.0,9.0,318.0,55.0,2.0,2.0,59.0,6.0,5.0,2.0,114.0,5.0,22.0,12.0,31.0,3157.0,47.0,7.0,1450.0,333.0,396.0,35.0,23.0,1378.0,43.0,2.0,129.0,1677.0,756.0,1421.0,30.0,353.0,5.0,16.0,2.0,0.0,10.0,0.0,3.0,3.0,18.0,1.0,0.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,79.0,7.0,55.0,295.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,21.0,1.0,264.0,17.0,20.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0
Electrotechnical,8.0,0.0,0.0,14.0,3.0,4.0,33.0,3.0,9.0,2.0,1.0,4.0,3.0,5.0,29.0,3.0,4.0,11.0,47.0,25.0,183.0,33.0,53.0,16.0,34.0,4.0,11.0,25.0,12.0,0.0,15.0,46.0,9.0,74.0,7.0,53.0,29.0,15.0,2.0,0.0,32.0,1.0,9.0,12.0,1.0,3.0,2.0,283.0,28.0,0.0,4.0,3.0,10.0,3.0,11.0,16.0,151.0,3.0,4.0,1.0,6.0,0.0,1.0,1.0,0.0,39.0,1.0,6.0,24.0,18.0,341.0,7.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0
Electrical devices,5.0,0.0,0.0,5.0,4.0,23.0,11.0,6.0,18.0,0.0,0.0,2.0,3.0,1.0,12.0,2.0,8.0,3.0,6.0,20.0,22.0,84.0,26.0,53.0,44.0,2.0,6.0,51.0,2.0,0.0,7.0,126.0,10.0,166.0,0.0,36.0,20.0,9.0,2.0,0.0,20.0,0.0,6.0,10.0,0.0,0.0,0.0,50.0,14.0,0.0,8.0,4.0,0.0,2.0,43.0,14.0,469.0,146.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,14.0,9.0,12.0,7.0,0.0,0.0,0.0,12.0,0.0,3.0,2.0,0.0
Machines,318.0,12.0,5.0,27.0,12.0,19.0,165.0,17.0,3.0,11.0,29.0,30.0,12.0,30.0,181.0,18.0,74.0,38.0,123.0,242.0,25.0,34.0,1484.0,212.0,101.0,18.0,21.0,206.0,83.0,6.0,63.0,289.0,57.0,263.0,114.0,254.0,134.0,54.0,16.0,0.0,63.0,4.0,11.0,11.0,18.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,47.0,87.0,11.0,5.0,9.0,0.0,92.0,6.0,5.0,0.0,20.0,6.0,121.0,7.0,12.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0
Car,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1042.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,248.0,7.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remainder Transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,0.0,3.0,0.0,360.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,13.0,4.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
